比赛日期,赛事,主队,客队,比分,胜赔,平赔,负赔
2026-04-01,用户示例联赛,晨星FC,海湾联,2-1,1.95,3.30,3.60
2026-04-02,用户示例联赛,山城竞技,绿洲城,1-1,2.20,3.10,3.05
2026-04-03,用户示例联赛,北岸队,南港队,0-2,2.60,3.20,2.35
2026-04-04,用户示例联赛,湖畔FC,晨星FC,3-1,2.05,3.25,3.20
2026-04-05,用户示例联赛,海湾联,山城竞技,0-0,2.10,3.00,3.40
2026-04-06,用户示例联赛,绿洲城,北岸队,1-2,2.35,3.15,2.70
2026-04-07,用户示例联赛,南港队,湖畔FC,2-2,2.45,3.20,2.55
2026-04-08,用户示例联赛,晨星FC,山城竞技,2-0,1.88,3.35,3.75
2026-04-09,用户示例联赛,海湾联,绿洲城,1-0,2.00,3.25,3.50
2026-04-10,用户示例联赛,北岸队,湖畔FC,1-1,2.30,3.05,2.95
2026-04-11,用户示例联赛,南港队,晨星FC,0-1,2.80,3.25,2.20
2026-04-12,用户示例联赛,山城竞技,海湾联,2-1,2.10,3.15,3.10
2026-04-13,用户示例联赛,绿洲城,南港队,1-3,2.40,3.20,2.55
2026-04-14,用户示例联赛,湖畔FC,北岸队,2-0,2.05,3.20,3.35
2026-04-15,用户示例联赛,晨星FC,绿洲城,3-2,1.90,3.45,3.50
2026-04-16,用户示例联赛,海湾联,北岸队,1-1,2.15,3.05,3.25
2026-04-17,用户示例联赛,山城竞技,南港队,0-2,2.50,3.10,2.55
2026-04-18,用户示例联赛,湖畔FC,海湾联,2-2,2.30,3.20,2.80
2026-04-19,用户示例联赛,北岸队,晨星FC,1-0,2.75,3.15,2.30
2026-04-20,用户示例联赛,南港队,绿洲城,2-1,2.00,3.30,3.40
2026-04-21,用户示例联赛,晨星FC,湖畔FC,1-1,1.98,3.25,3.45
2026-04-22,用户示例联赛,海湾联,南港队,0-3,2.70,3.20,2.35
2026-04-23,用户示例联赛,山城竞技,北岸队,2-2,2.18,3.12,3.05
2026-04-24,用户示例联赛,绿洲城,湖畔FC,1-0,2.40,3.05,2.75
2026-04-25,用户示例联赛,南港队,山城竞技,3-1,2.05,3.30,3.20
2026-04-26,用户示例联赛,北岸队,海湾联,bad-score,2.10,3.10,3.25
2026-04-27,用户示例联赛,湖畔FC,绿洲城,2-1,2.25,3.25,2.80
2026-04-28,用户示例联赛,晨星FC,南港队,0-0,2.05,3.05,3.45
2026-04-29,用户示例联赛,海湾联,湖畔FC,1-2,2.30,3.20,2.75
2026-04-30,用户示例联赛,北岸队,山城竞技,2-0,2.45,3.10,2.60
2026-05-01,用户示例联赛,绿洲城,晨星FC,1-1,2.80,3.25,2.20
2026-05-02,用户示例联赛,南港队,海湾联,2-0,2.12,3.18,3.15
2026-05-03,用户示例联赛,湖畔FC,山城竞技,1-3,2.55,3.15,2.45
2026-05-04,用户示例联赛,晨星FC,北岸队,2-2,1.95,3.30,3.65
